location_id,location_name,location_group,location_type,sensor_id,place_open,local_date_time,utc_date_time,number_of_aggregated_records,pm25_ug_m3_raw,pm25_ug_m3_corrected,particle_count_03um,co2_ppm_raw,co2_ppm_corrected,temperature_c_raw,temperature_c_corrected,heat_index_c,humidity_percent_raw,humidity_percent_corrected,tvoc_ppb,tvoc_index,nox_index,pm1_ug_m3,pm10_ug_m3
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,2026-01-04 22:50:00,2026-01-04T14:50:00.000Z,1,24.3,24.3,888.0,507.0,507.0,30.3,30.7,34.7,44.0,62.0,334.0,287.0,2.0,14.3,24.8
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,2026-01-04 22:45:00,2026-01-04T14:45:00.000Z,4,22.3,22.3,906.0,475.0,475.0,30.3,30.7,34.7,44.0,62.0,330.0,285.0,2.0,12.0,23.8
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:50:00,2026-01-04T09:50:00.000Z,1,0.0,8.1,210.0,579.0,579.0,31.4,32.0,36.8,41.0,59.0,1964.0,498.0,1.0,0.0,0.0
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:45:00,2026-01-04T09:45:00.000Z,5,0.5,7.7,200.0,555.0,555.0,31.4,32.0,36.7,41.0,59.0,1852.0,496.0,1.0,0.0,0.6
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:40:00,2026-01-04T09:40:00.000Z,5,0.0,6.7,174.0,517.0,517.0,31.4,31.9,36.5,41.0,58.0,1672.0,494.0,1.0,0.0,0.1
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:35:00,2026-01-04T09:35:00.000Z,5,0.0,6.9,179.0,500.0,500.0,31.3,31.9,36.3,41.0,58.0,1601.0,493.0,1.0,0.0,0.0
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:30:00,2026-01-04T09:30:00.000Z,5,0.3,7.5,195.0,444.0,444.0,31.3,31.9,36.1,40.0,57.0,439.0,306.0,1.0,0.0,0.3
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:25:00,2026-01-04T09:25:00.000Z,4,0.2,7.1,184.0,433.0,433.0,31.4,32.0,36.1,39.0,57.0,154.0,158.0,1.0,0.0,0.5
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:20:00,2026-01-04T09:20:00.000Z,5,0.0,6.5,168.0,456.0,456.0,31.4,32.0,36.2,40.0,57.0,199.0,195.0,1.0,0.0,0.4
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:15:00,2026-01-04T09:15:00.000Z,5,0.2,7.0,180.0,475.0,475.0,31.5,32.1,36.4,39.0,57.0,253.0,231.0,1.0,0.0,0.5
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:10:00,2026-01-04T09:10:00.000Z,5,0.1,7.1,183.0,500.0,500.0,31.5,32.1,36.7,40.0,58.0,466.0,349.0,1.0,0.0,0.5
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:05:00,2026-01-04T09:05:00.000Z,4,0.3,7.3,189.0,458.0,458.0,31.6,32.2,36.6,40.0,57.0,347.0,290.0,1.0,0.1,0.3
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 17:00:00,2026-01-04T09:00:00.000Z,5,1.0,8.2,211.0,501.0,501.0,31.7,32.3,37.1,40.0,58.0,617.0,391.0,1.0,0.1,1.1
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:55:00,2026-01-04T08:55:00.000Z,5,1.0,8.4,217.0,503.0,503.0,31.7,32.3,37.1,40.0,58.0,697.0,412.0,1.0,0.0,1.2
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:50:00,2026-01-04T08:50:00.000Z,5,0.5,9.0,233.0,506.0,506.0,31.7,32.3,37.1,40.0,58.0,807.0,433.0,1.0,0.0,0.6
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:45:00,2026-01-04T08:45:00.000Z,5,0.3,8.2,213.0,431.0,431.0,31.7,32.3,36.8,39.0,57.0,145.0,143.0,1.0,0.0,0.6
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:40:00,2026-01-04T08:40:00.000Z,5,0.0,8.0,208.0,433.0,433.0,31.6,32.2,36.7,39.0,57.0,86.0,91.0,1.0,0.0,0.7
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:35:00,2026-01-04T08:35:00.000Z,5,0.9,7.8,202.0,414.0,414.0,31.5,32.1,36.3,39.0,57.0,63.0,65.0,1.0,0.0,0.9
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:30:00,2026-01-04T08:30:00.000Z,5,0.6,7.1,183.0,399.0,399.0,31.4,32.0,35.9,39.0,56.0,44.0,44.0,1.0,0.0,0.7
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,2026-01-04 16:25:00,2026-01-04T08:25:00.000Z,5,0.1,7.3,190.0,397.0,397.0,31.4,32.0,36.0,39.0,56.0,40.0,39.0,1.0,0.0,0.2
